"Page / Area","Section","Source","Language","Before","Before Word Count","After","After Word Count","Reduction %","Flags","Max Sentence Before","Max Sentence After","Mixed-Language Density After"
"Article: الأتمتة الذكية في المؤسسات: أين تبدأ فعليًا؟","title","src/content/blog/automation-where-to-start.ar.md","AR","الأتمتة الذكية في المؤسسات: أين تبدأ فعليًا؟","8","الأتمتة الذكية في المؤسسات: أين تبدأ فعليًا؟","8","0","No change needed","8","8","0%"
"Article: هل نصمّم الشركات حول الهرم… أم حول الذكاء؟","Article body","src/content/blog/2026-06-11-organizational-intelligence-leadership.ar.md","Mixed AR/EN","استمعت مؤخرًا إلى محاضرة عن فكرة مثيرة اسمها **Organizational Singularity**.. الفكرة الأساسية ليست فقط أن الشركات ستستخدم الذكاء الاصطناعي أكثر. هذا أصبح واضحًا تقريبًا للجميع.. ما لفتني أكثر هو سؤال أعمق:. **هل ما زلنا نصمّم الشركات بالطريقة الصحيحة؟**. لعقود طويلة، بُنيت الشركات حول الهرمية:. إدارة عليا، إدارة وسطى، فرق تنفيذية، اجتماعات، تقارير، موافقات، ثم تنفيذ.. هذا النموذج كان منطقيًا في زمن كانت فيه المعرفة موزعة، والتنفيذ مكلفًا، والتنسيق صعبًا.. لكن مع ظهور أدوات الذكاء الاصطناعي وخصوصًا agentic AI، بدأ شيء جوهري يتغير.. في بعض الحالات، أصبح تنفيذ فكرة أولية أسرع وأرخص من الاجتماع حولها.. وأصبح السؤال ليس: “من يجب أن يوافق؟”. بل: “كيف يمكن أن يتدفق الذكاء داخل المنظمة بأقل احتكاك وبأعلى جودة؟”. هذا لا يعني أن دور الإنسان ينتهي.. بالعكس، أعتقد أن دوره يصبح أعلى قيمة.. بدل أن يكون الإنسان مشغولًا بجمع البيانات، تلخيص التقارير، ومتابعة المهام المتكررة، يمكن أن ينتقل إلى مستوى آخر:. الحكم على الجودة، فهم السياق، اتخاذ القرارات الحساسة، مراقبة المخاطر، وحماية الاتجاه العام.. أي أن الإنسان لا يخرج من المعادلة.. لكنه لا يبقى محصورًا في العمل الذي يمكن للنظام أن يتعلمه ويكرره ويحسّنه.. واحدة من الأفكار المهمة في المحاضرة كانت أن إدخال AI داخل عمليات قديمة لا يكفي.. لا يمكننا أن نأخذ workflow بطيئًا، مليئًا بالموافقات والتعقيد، ثم نضيف فوقه أداة AI ونتوقع تحولًا حقيقيًا.. التحول الحقيقي يبدأ عندما نسأل:. لو صممنا هذا العمل من الصفر اليوم، مع وجود AI كطبقة أساسية، هل كنا سنبنيه بنفس الطريقة؟. ربما لا.. ربما لا نحتاج كل هذه الخطوات.. ربما لا نحتاج كل هذه الاجتماعات.. وربما يمكن لبعض العمليات أن تتحول إلى حلقات تعلم مستمرة: تستشعر، تفسر، تقترح، تنفذ، تتعلم، ثم تتحسن في الدورة التالية.. لكن هنا تأتي نقطة مهمة جدًا: السرعة وحدها ليست كافية.. كلما أصبحت الأنظمة أكثر قدرة، أصبحت الحوكمة أكثر أهمية.. أي Agent داخل الشركة يجب أن يكون له حدود واضحة: ماذا يستطيع أن يفعل؟ إلى أي بيانات يصل؟ متى يتوقف؟ متى يحتاج مراجعة بشرية؟ وكيف يمكن تتبع قراراته أو الرجوع عنها؟. في هذا السياق، الحوكمة ليست عائقًا أمام الابتكار.. هي الشرط الذي يجعل الابتكار قابلًا للتوسع بثقة.. وهذه ربما أهم نقطة بالنسبة لي كقائد Product & Technology:. الموضوع لم يعد فقط كيف نبني features أسرع.. بل كيف نبني قدرات مؤسسية ذكية، آمنة، قابلة للقياس، ويمكن الوثوق بها.. الشركات القادمة لن تكون الأقوى لأنها تملك أكبر عدد من الموظفين أو أكبر عدد من الأدوات.. ستكون الأقوى لأنها تتعلم أسرع، تختبر أسرع، تصحح أسرع، وتعرف أين يجب أن يبقى القرار إنسانيًا.. ربما السؤال القادم لكل شركة لن يكون فقط:. “ما هي استراتيجية الذكاء الاصطناعي لدينا؟”. بل سيكون:. **هل منظمتنا نفسها مصممة لتتعلم؟**","434","استمعت مؤخرًا إلى محاضرة عن **Organizational Singularity**. لم تكن الفكرة أن الشركات ستستخدم AI أكثر، بل أن AI قد يغيّر طريقة تصميم المنظمة نفسها.. السؤال الأهم:. **هل ما زلنا نصمّم الشركات بالطريقة الصحيحة؟**. بُنيت الشركات طويلًا حول هرم من الإدارات والاجتماعات والتقارير والموافقات. كان ذلك منطقيًا حين كانت المعرفة موزعة والتنسيق مكلفًا.. مع Agentic AI، قد يصبح اختبار فكرة أسرع من الاجتماع حولها. ويتحول السؤال من «من يوافق؟» إلى «كيف يتدفق الذكاء داخل المنظمة بأقل احتكاك وأعلى جودة؟».. هذا لا يلغي الإنسان؛ بل يرفع قيمة دوره. يمكن للأنظمة جمع البيانات وتلخيص التقارير ومتابعة العمل المتكرر، بينما يركز الإنسان على الحكم والسياق والقرارات الحساسة والمخاطر.. لكن إضافة AI إلى عملية قديمة لا تصنع تحولًا. لا يكفي وضع أداة جديدة فوق مسار بطيء ومثقل بالموافقات.. السؤال الصحيح هو:. **لو صممنا هذا العمل اليوم، واعتبرنا AI طبقة أساسية، فهل سنبنيه بالطريقة نفسها؟**. ربما تختفي خطوات واجتماعات، وتتحول بعض العمليات إلى حلقات تعلم: تستشعر، تفسر، تقترح، تنفذ، ثم تتحسن.. السرعة وحدها لا تكفي. كلما زادت قدرة الأنظمة، زادت أهمية الحوكمة. يحتاج كل AI Agent إلى صلاحيات وحدود واضحة. ما البيانات التي يصل إليها؟ ماذا ينفذ؟ متى يتوقف؟ ومتى يطلب مراجعة بشرية؟. الحوكمة هنا ليست عائقًا؛ إنها ما يجعل التوسع ممكنًا بثقة.. بالنسبة لي، هذه هي مهمة قيادة المنتج والتقنية اليوم: بناء قدرات مؤسسية ذكية وآمنة وقابلة للقياس، لا مجرد خصائص أسرع.. لن تتميز الشركات القادمة بعدد الأدوات، بل بسرعة التعلم والاختبار والتصحيح، وبوضوح المواضع التي يجب أن يبقى فيها القرار إنسانيًا.. لذلك لا يكفي أن تسأل الشركة عن استراتيجية AI. السؤال الأعمق:. **هل منظمتنا نفسها مصممة لتتعلم؟**","264","39.2","Rewritten; Condensed; Terminology; Repeated theme","21","21","4.2%"
"Article: هل نصمّم الشركات حول الهرم… أم حول الذكاء؟","excerpt","src/content/blog/2026-06-11-organizational-intelligence-leadership.ar.md","Mixed AR/EN","مع ظهور agentic AI، لم يعد السؤال كيف نضيف أداة جديدة، بل كيف نعيد تصميم المنظمة لتتعلم أسرع مع حوكمة واضحة وقرار إنساني واعٍ.","24","مع Agentic AI، يصبح السؤال كيف نصمم منظمة تتعلم أسرع مع حوكمة واضحة وقرار إنساني.","15","37.5","Rewritten; Condensed; Repeated theme","24","15","13.3%"
"Article: هل نصمّم الشركات حول الهرم… أم حول الذكاء؟","readTime","src/content/blog/2026-06-11-organizational-intelligence-leadership.ar.md","AR","٥ د","2","٥ د","2","0","No change needed","2","2","0%"
"Article: هل نصمّم الشركات حول الهرم… أم حول الذكاء؟","tag","src/content/blog/2026-06-11-organizational-intelligence-leadership.ar.md","AR","قيادة المنتج والتقنية","3","قيادة المنتج والتقنية","3","0","No change needed","3","3","0%"
"Article: هل نصمّم الشركات حول الهرم… أم حول الذكاء؟","title","src/content/blog/2026-06-11-organizational-intelligence-leadership.ar.md","AR","هل نصمّم الشركات حول الهرم… أم حول الذكاء؟","9","هل نصمّم الشركات حول الهرم… أم حول الذكاء؟","9","0","No change needed","9","9","0%"
"Blog post template","article-next","src/pages/BlogPost.tsx","AR","هل تفتح هذه الفكرة سؤالًا في عملك؟","8","هل تفتح الفكرة سؤالًا في عملك؟","7","12.5","Rewritten","8","7","0%"
"Blog post template","article-next","src/pages/BlogPost.tsx","Mixed AR/EN","يمكنك متابعة النقاش والكتابات الجديدة عبر LinkedIn.","7","تابع النقاش والكتابات الجديدة على LinkedIn.","6","14.3","Rewritten","7","6","16.7%"
"Blog post template","section-label","src/pages/BlogPost.tsx","Neutral","03","1","03","1","0","No change needed","1","1","0%"
"Blog post template","section-label","src/pages/BlogPost.tsx","EN","Continue the conversation","3","Continue the conversation","3","0","No change needed","3","3","0%"
"Blog","blogTopics[0].labels.ar","src/features/blog/topics.ts","AR","قيادة المنتج والهندسة","3","قيادة المنتج والهندسة","3","0","No change needed","3","3","0%"
"Blog","blogTopics[0].labels.en","src/features/blog/topics.ts","EN","Product and engineering leadership","4","Product and engineering leadership","4","0","No change needed","4","4","0%"
"Blog","blogTopics[1].labels.ar","src/features/blog/topics.ts","Mixed AR/EN","اللغة العربية والذكاء الاصطناعي","4","اللغة العربية وAI","3","25","Rewritten; Condensed; High mixed-language density","4","3","33.3%"
"Blog","blogTopics[1].labels.en","src/features/blog/topics.ts","EN","Arabic language and AI","4","Arabic language and AI","4","0","No change needed","4","4","0%"
"Blog","blogTopics[2].labels.ar","src/features/blog/topics.ts","AR","الأتمتة والمحاكاة","2","الأتمتة والمحاكاة","2","0","No change needed","2","2","0%"
"Blog","blogTopics[2].labels.en","src/features/blog/topics.ts","EN","Automation and simulation","3","Automation and simulation","3","0","No change needed","3","3","0%"
"Blog","blogTopics[3].labels.ar","src/features/blog/topics.ts","AR","أفكار عامة","2","أفكار عامة","2","0","No change needed","2","2","0%"
"Blog","blogTopics[3].labels.en","src/features/blog/topics.ts","EN","General","1","General","1","0","No change needed","1","1","0%"
"Blog","blog-empty","src/pages/Blog.tsx","AR","لا توجد مقالات منشورة ضمن هذا المحور حاليًا.","9","لا توجد مقالات منشورة ضمن هذا المحور حاليًا.","9","0","No change needed","9","9","0%"
"Blog","blog-index-title","src/pages/Blog.tsx","AR","أفكار عملية، مرتبة بهدوء.","4","أفكار عملية من واقع العمل.","5","-25","Rewritten","4","5","0%"
"Blog","paper-section","src/pages/Blog.tsx","AR","تصنيف المقالات","2","تصنيف المقالات","2","0","No change needed","2","2","0%"
"Blog","section-heading","src/pages/Blog.tsx","AR","اختر محورًا أو ابدأ من أحدث كتابة.","8","اختر موضوعًا أو ابدأ بالأحدث.","6","25","Rewritten; Condensed","8","6","0%"
"Blog","section-label","src/pages/Blog.tsx","Neutral","01","1","01","1","0","No change needed","1","1","0%"
"Blog","section-label","src/pages/Blog.tsx","Neutral","02","1","02","1","0","No change needed","1","1","0%"
"Blog","section-label","src/pages/Blog.tsx","EN","Writing archive","2","Writing archive","2","0","No change needed","2","2","0%"
"Global / Accessibility","General","src/components/Layout.tsx","AR","الانتقال إلى المحتوى","3","الانتقال إلى المحتوى","3","0","No change needed","3","3","0%"
"Global / Footer","site-footer__inner","src/components/SiteFooter.tsx","EN","Head of Product &amp; Technology","5","Head of Product &amp; Technology","5","0","Verify factual context","5","5","0%"
"Global / Footer","site-footer__inner","src/components/SiteFooter.tsx","AR","روابط التذييل","2","روابط التذييل","2","0","No change needed","2","2","0%"
"Global / Footer","site-footer__inner","src/components/SiteFooter.tsx","EN","LinkedIn","1","LinkedIn","1","0","No change needed","1","1","0%"
"Global / Header","mobile-navigation","src/components/SiteHeader.tsx","AR","التنقل الرئيسي","2","التنقل الرئيسي","2","0","No change needed","2","2","0%"
"Global / Header","mobile-navigation","src/components/SiteHeader.tsx","EN","LinkedIn","1","LinkedIn","1","0","No change needed","1","1","0%"
"Global / Header","site-header__inner","src/components/SiteHeader.tsx","EN","Product · Technology · AI","3","Product &amp; Technology · AI","4","-33.3","Rewritten","3","4","0%"
"Global / Header","site-header__inner","src/components/SiteHeader.tsx","AR","القائمة","1","القائمة","1","0","No change needed","1","1","0%"
"Global / Header","site-header__linkedin","src/components/SiteHeader.tsx","EN","LinkedIn","1","LinkedIn","1","0","No change needed","1","1","0%"
"Global / Header","site-navigation","src/components/SiteHeader.tsx","AR","التنقل الرئيسي","2","التنقل الرئيسي","2","0","No change needed","2","2","0%"
"Global / Navigation","siteConfig.navigation[0].label","src/config/site.ts","AR","الرئيسية","1","الرئيسية","1","0","No change needed","1","1","0%"
"Global / Navigation","siteConfig.navigation[1].label","src/config/site.ts","AR","أفكاري","1","أفكاري","1","0","No change needed","1","1","0%"
"Global / Navigation","siteConfig.navigation[2].label","src/config/site.ts","AR","رحلتي","1","رحلتي","1","0","No change needed","1","1","0%"
"Global / Navigation","siteConfig.profile.name","src/config/site.ts","AR","راشد صبرة","2","راشد صبرة","2","0","No change needed","2","2","0%"
"Global / SEO","Meta author","index.html","EN","Rashed Sabra","2","Rashed Sabra","2","0","No change needed","2","2","0%"
"Global / SEO","Meta description","index.html","Mixed AR/EN","الموقع الشخصي لراشد صبرة — مهندس ذكاء اصطناعي، قائد تقني، ومستشار في التحول الرقمي.","13","راشد صبرة يقود المنتج والتقنية ويبني أنظمة AI واضحة، قابلة للفحص، ويقودها الإنسان.","13","0","Rewritten","13","13","7.7%"
"Global / SEO","og:description","index.html","Mixed AR/EN","الموقع الشخصي لراشد صبرة — مهندس ذكاء اصطناعي، قائد تقني، ومستشار في التحول الرقمي.","13","راشد صبرة يقود المنتج والتقنية ويبني أنظمة AI واضحة، قابلة للفحص، ويقودها الإنسان.","13","0","Rewritten","13","13","7.7%"
"Global / SEO","og:title","index.html","Mixed AR/EN","راشد صبرة — مهندس ذكاء اصطناعي وقائد تقني","7","راشد صبرة — Head of Product & Technology","6","14.3","Rewritten; High mixed-language density; Verify factual context","7","6","66.7%"
"Global / SEO","Page title","index.html","Mixed AR/EN","راشد صبرة — مهندس ذكاء اصطناعي وقائد تقني","7","راشد صبرة — Head of Product & Technology","6","14.3","Rewritten; High mixed-language density; Verify factual context","7","6","66.7%"
"Home / Hero","General","src/components/HumanNetworkHero.tsx","AR","راشد صبرة","2","راشد صبرة","2","0","No change needed","2","2","0%"
"Home","beliefs-title","src/pages/Index.tsx","EN","What I","2","What I","2","0","No change needed","2","2","0%"
"Home","beliefs-title","src/pages/Index.tsx","EN","Believe","1","Believe","1","0","No change needed","1","1","0%"
"Home","beliefs[0]","src/pages/Index.tsx","EN","I believe technology should expand human judgment, not quietly replace it.","11","Technology should strengthen human judgment, not replace it.","8","27.3","Rewritten; Condensed","11","8","0%"
"Home","beliefs[1]","src/pages/Index.tsx","EN","I believe strong product and technology leadership turns complexity into shared clarity: clear decisions, clear ownership, and systems teams can trust.","21","Product and technology leadership turns complexity into clear decisions, ownership, and systems teams trust.","14","33.3","Rewritten; Condensed","21","14","0%"
"Home","beliefs[2]","src/pages/Index.tsx","EN","I believe AI earns its place through evidence. It should be understandable, testable, and accountable to the people affected by it.","21","AI earns trust through evidence: it must be understandable, testable, and accountable.","12","42.9","Rewritten; Condensed","13","12","0%"
"Home","future-title","src/pages/Index.tsx","EN","The best way","3","The best way","3","0","No change needed","3","3","0%"
"Home","future-title","src/pages/Index.tsx","EN","to predict the future","4","to predict the future","4","0","No change needed","4","4","0%"
"Home","future-title","src/pages/Index.tsx","EN","is to create it.","4","is to create it.","4","0","No change needed","4","4","0%"
"Home","homepage-beliefs__heading","src/pages/Index.tsx","EN","The operating principles behind how I lead, build, and evaluate intelligent systems.","12","How I lead, build, and evaluate intelligent systems.","8","33.3","Rewritten; Condensed","12","8","0%"
"Home","homepage-button","src/pages/Index.tsx","AR","استكشف أفكاري","2","استكشف أفكاري","2","0","No change needed","2","2","0%"
"Home","homepage-button","src/pages/Index.tsx","AR","تعرّف إلى رحلتي","4","تعرّف إلى رحلتي","4","0","No change needed","4","4","0%"
"Home","homepage-button","src/pages/Index.tsx","AR","تعرّف إلى رحلتي","4","تعرّف إلى رحلتي","4","0","No change needed","4","4","0%"
"Home","homepage-future__inner","src/pages/Index.tsx","EN","A principle for what comes next","6","A principle for what comes next","6","0","No change needed","6","6","0%"
"Home","homepage-hero__lede","src/pages/Index.tsx","Mixed AR/EN","أجمع بين قيادة المنتج والهندسة وخبرة عملية في الذكاء الاصطناعي لأحوّل الأفكار المعقدة إلى أنظمة واضحة، قابلة للفحص، ويمكن للفرق أن تثق بها.","24","أجمع قيادة المنتج والهندسة بخبرة عملية في AI لأحوّل التعقيد إلى أنظمة واضحة، قابلة للفحص، وموثوقة.","17","29.2","Rewritten; Condensed; Repeated theme","24","17","5.9%"
"Home","homepage-index","src/pages/Index.tsx","EN","01 · Principles","2","01 · Principles","2","0","No change needed","2","2","0%"
"Home","homepage-index","src/pages/Index.tsx","EN","03 · Professional proof","3","03 · Professional proof","3","0","No change needed","3","3","0%"
"Home","homepage-index","src/pages/Index.tsx","AR","04 · الخبرة وراء الأفكار","4","04 · الخبرة وراء الأفكار","4","0","No change needed","4","4","0%"
"Home","homepage-journey__inner","src/pages/Index.tsx","AR","تعرّف إلى المحطات والمبادئ التي شكّلت طريقتي في بناء الفرق والأنظمة واتخاذ القرار.","15","المحطات والمبادئ التي شكّلت طريقتي في بناء الفرق والأنظمة واتخاذ القرار.","12","20","Rewritten; Condensed","15","12","0%"
"Home","homepage-role","src/pages/Index.tsx","EN","Head of Product &amp; Technology","5","Head of Product &amp; Technology","5","0","Verify factual context","5","5","0%"
"Home","homepage-title","src/pages/Index.tsx","AR","أقود المنتج والتقنية لبناء أنظمة ذكية تبقى تحت قيادة الإنسان.","10","أقود المنتج والتقنية لبناء أنظمة ذكية يقودها الإنسان.","8","20","Rewritten; Condensed","10","8","0%"
"Home","journey-title","src/pages/Index.tsx","Mixed AR/EN","من AI/NLP وهندسة البرمجيات إلى قيادة المنتج والتقنية.","8","من AI وNLP وهندسة البرمجيات إلى قيادة المنتج والتقنية.","9","-12.5","Rewritten","8","9","22.2%"
"Home","proof-title","src/pages/Index.tsx","AR","الخبرة التي تقف خلف الأفكار.","5","الخبرة التي تقف خلف الأفكار.","5","0","No change needed","5","5","0%"
"Home","proof[0].body","src/pages/Index.tsx","AR","قيادة المنتج والهندسة والجودة والتسليم ضمن نظام عمل واحد.","9","أوحّد المنتج والهندسة والجودة والتسليم في نظام عمل واضح.","10","-11.1","Rewritten","9","10","0%"
"Home","proof[0].title","src/pages/Index.tsx","EN","Head of Product & Technology","4","Head of Product & Technology","4","0","Verify factual context","4","4","0%"
"Home","proof[1].body","src/pages/Index.tsx","Mixed AR/EN","خلفية أكاديمية وعملية في الذكاء الاصطناعي وNLP، مع تركيز على الأنظمة القابلة للفحص.","13","خبرة أكاديمية وعملية في AI وNLP، تركّز على أنظمة قابلة للفحص.","12","7.7","Rewritten; Repeated theme","13","12","16.7%"
"Home","proof[1].title","src/pages/Index.tsx","EN","AI Engineer","2","AI Engineer","2","0","Verify factual context","2","2","0%"
"Home","proof[2].body","src/pages/Index.tsx","Mixed AR/EN","أساس في البيانات، معالجة اللغة، وتقييم التقنية بعيدًا عن الضجيج.","11","أساس في البيانات وNLP وتقييم التقنية بعيدًا عن الضجيج.","10","9.1","Rewritten","11","10","10%"
"Home","proof[2].title","src/pages/Index.tsx","EN","MSc in Big Data Systems","5","MSc in Big Data Systems","5","0","Verify factual context","5","5","0%"
"Home","selected-thoughts","src/pages/Index.tsx","AR","02 · أفكار مختارة","3","02 · أفكار مختارة","3","0","No change needed","3","3","0%"
"Home","selected-thoughts","src/pages/Index.tsx","AR","عرض كل الكتابات","3","عرض كل الكتابات","3","0","No change needed","3","3","0%"
"Home","selected-thoughts","src/pages/Index.tsx","AR","قراءة","1","للقراءة","1","0","Rewritten","1","1","0%"
"Home","thoughts-title","src/pages/Index.tsx","AR","أكتب عن الأنظمة التي تعمل في الواقع، لا في العرض فقط.","11","أكتب عن أنظمة تعمل في الواقع، لا في العروض.","9","18.2","Rewritten","11","9","0%"
"Journey / Timeline","fallbackOutcomes.ai-direction[0]","src/components/Timeline.tsx","EN","Product & Technology","2","Product & Technology","2","0","No change needed","2","2","0%"
"Journey / Timeline","fallbackOutcomes.ai-direction[1]","src/components/Timeline.tsx","Mixed AR/EN","AI Governance","2","حوكمة AI","2","0","Rewritten; High mixed-language density","2","2","50%"
"Journey / Timeline","fallbackOutcomes.ai-direction[2]","src/components/Timeline.tsx","AR","Technical Strategy","2","استراتيجية تقنية","2","0","Rewritten","2","2","0%"
"Journey / Timeline","fallbackOutcomes.l-one[0]","src/components/Timeline.tsx","AR","Software Engineering","2","هندسة البرمجيات","2","0","Rewritten; Terminology","2","2","0%"
"Journey / Timeline","fallbackOutcomes.l-one[1]","src/components/Timeline.tsx","AR","Robotics Simulation","2","محاكاة الروبوتات","2","0","Rewritten","2","2","0%"
"Journey / Timeline","fallbackOutcomes.l-one[2]","src/components/Timeline.tsx","EN","CAD workflows","2","CAD","1","50","Rewritten; Condensed","2","1","0%"
